what are the best hotels here	OutOfDomain
my body is chilling	Symptom/Disease
Hey show me some radiologist	Consult
i have bad thoughts	Symptom/Disease
Is there any doctor that i can talk to	Consult
who is barrack obama	OutOfDomain
I am sick, I want to see a doctor	Consult
i want to buy a phone	OutOfDomain
I need a Cardiologist urgently	Consult
Show me best doctors	Consult
Suggest me a good doctor	Consult
Consult me doctor	Consult
Consult me some doctors	Consult
i am irritated	Symptom/Disease
I've had constipation since last night.	Symptom/Disease
I would like to see a therapist	Consult
I want to consult a anesthesiologist	Consult
fndsijunfdnzcneuihfhfeidhnfd	OutOfDomain
I don't know what's wrong with the symptoms that I have, please help me.	Symptom/Disease
Can you consult me a dermatologist	Consult
i feel like not doing anything	Symptom/Disease
my charger is not working	OutOfDomain
I want to seek advice from a doctor	Consult
I want to consult a Rheumatologist	Consult
Hey Can you consult me a dermatologist	Consult
where is the bathroom	OutOfDomain
Hey Can you consult me to a gastrologist	Consult
I am having an emergency situation	Consult
do you have wife	OutOfDomain
Are there any doctors available?	Consult
I have had dark spots and red marks on my leg muscles for the last couple weeks.	Symptom/Disease
can you think like a human	OutOfDomain
I've had age spots and red marks on my glutes over the last few weeks.	Symptom/Disease
I would like to see a Microbiologist	Consult
can you book a cab for me	OutOfDomain
I have been having heartburn since last night.	Symptom/Disease
what are your intentions	OutOfDomain
my vision is blurred	Symptom/Disease
I'm having a fever.	Symptom/Disease
how do you tell me answers	OutOfDomain
I want to be healed, I've had pain in my head.	Symptom/Disease
Please consult me a Orthopedic Surgeon	Consult
show me movies in a	OutOfDomain
casnjcsh hashud nsan	OutOfDomain
i have high fever	Symptom/Disease
I want to see a doctor	Consult
Just give me the reason for my itchy skin.	Symptom/Disease
Forward me to a Neurologist	Consult
do you have husband	OutOfDomain
what is the current temperature	OutOfDomain
where is the toilet	OutOfDomain
I am suffering from fever	Symptom/Disease
my hands are paining	Symptom/Disease
I want to ask questions to a doctor	Consult
This is an emergency situation, find me a doctor	Consult
how is the weather today	OutOfDomain
List nearby Allergist	Consult
i get sweaty	Symptom/Disease
Show me nearest doctors	Consult
i want to suicide	Symptom/Disease
Do you know the list of Podiatrists	Consult
I urgently need a doctor	Consult
who is devesh tewari	OutOfDomain
I have trouble concentrating, remembering details, and making decisions and tiredness	Symptom/Disease
i have fever	Symptom/Disease
find me a doctor	Consult
find me some doctors	Consult
find me a dentist	Consult
find me a physician	Consult
find me some good doctors	Consult
find me a dermatologist	Consult
find me some good physicians	Consult
What are some good Anesthesiologists here	Consult
Give me the reason for my itchy skin.	Symptom/Disease
fds fjsk cnxm	OutOfDomain
With bad breath, I often have a dry mouth.	Symptom/Disease
I have trouble concentrating, remembering the details, making decisions and making tiredness	Symptom/Disease
I feel an excessive thirst and hunger and a frequent urination.	Symptom/Disease
Show me the best psychiatrist	Consult
Please consult me a doctor	Consult
fjdsfj djsfjmo jfsikjfe fjeiks sdkmfje	OutOfDomain
Are there any ENT Specialists	Consult
examine my body	OutOfDomain
show me the list of asus laptops	OutOfDomain
I am suffering from headache and nausea	Symptom/Disease
i feel suicidal	Symptom/Disease
I am having an emergency situation	Consult
I have had cold spots and scars on my lower body for the last couple of days.	Symptom/Disease
I often have a bad breath with a dry mouth.	Symptom/Disease
I have been having constipation since last night.	Symptom/Disease
i want to drink tea	OutOfDomain
my muscle twitched	Symptom/Disease
do you have hands	OutOfDomain
show me places for breakfast	OutOfDomain
book a cab	OutOfDomain
do you walk	OutOfDomain
I want to get doctor's advice	Consult
can you suggest me a medicine for headache	OutOfDomain
when will you become y	OutOfDomain
i want to travel to pochinki	OutOfDomain
Let me speak to a Dermatologist	Consult
Show me nearby Cardiologist	Consult
Show me some doctors	Consult
Hey Consult me a Immunologist	Consult
What are some good doctors here	Consult
I have a red, painful, and irritated lump under my skin and a fever of three days.	Symptom/Disease
Do you know any gynecologist	Consult
i cannot see properly	Symptom/Disease
what is the price of iphone x	OutOfDomain
I have a red rash spread from my face down my body for five days.	Symptom/Disease
i want to order food	OutOfDomain
i get really sweaty	Symptom/Disease
Since last few days I am having cold spots and scars on my lower body.	Symptom/Disease
Show me nearby Allergists	Consult
show me places for dinner	OutOfDomain
After brushing, I had bleeding and gums swollen.	Symptom/Disease
What are the doctors that I can see?	Consult
show me best movies available	OutOfDomain
How can I get rid of my fatigue?	Symptom/Disease
tell me a joke	OutOfDomain
book an appointment with doctor	OutOfDomain
What are the skin specialists that you know	Consult
I am compelling to see a Cardiologist	Consult
Please give me the reason for my itchy skin.	Symptom/Disease
i am always sleepy	Symptom/Disease
I've got Itchy, raised welts, small, round on my face.	Symptom/Disease
who is george bush	OutOfDomain
can you answer anything about medical domain	OutOfDomain
I feel chewing and biting pain	Symptom/Disease
I am in urgent need of a doctor	Consult
do you have a leg	OutOfDomain
i want to book a hotel	OutOfDomain
qwertyuiop	OutOfDomain
Hey Consult me some immunologist	Consult
Can you consult me to a doctor	Consult
I have a very frequent dry mouth with a bad breath.	Symptom/Disease
After I was brushing, I had bleeding and swollen gums.	Symptom/Disease
can i provide you any symptom i want	OutOfDomain
I feel the pain of chewing and biting	Symptom/Disease
I would like to see a doctor	Consult
Give me the reason why my skin is itchy.	Symptom/Disease
kill a doctor	OutOfDomain
i want to rent a bike	OutOfDomain
suggest me a medicine for x	OutOfDomain
are you married	OutOfDomain
I need to see Neurologist	Consult
Since last night I am having constipation.	Symptom/Disease
mclkdsncdh	OutOfDomain
i want to order a pizza	OutOfDomain
yesterday i blacked out	Symptom/Disease
travel to pochinki	OutOfDomain
How can I get relieved from pain and swelling on the foot.	Symptom/Disease
I want to see flights from x to y	OutOfDomain
I don't know what's wrong, but my ankle is paining very badly.	Symptom/Disease
I feel exaggerated thirst and hunger and frequent urination.	Symptom/Disease
I have Itchy, raised welts, small, round on my face.	Symptom/Disease
Can you consult me a doctor	Consult
I've been having joint pain since the first week of August.	Symptom/Disease
show me some rides	OutOfDomain
I have difficulty concentrating, remembering the details and making decisions and tiredness	Symptom/Disease
Do you know the list of Plastic Surgeon	Consult
Hey I want to consult a anesthesiologist	Consult
do you feel emotions	OutOfDomain
I want to see a physician	Consult
can i get rid of my cold and cough anyhow?	Symptom/Disease
I want to get doctor's counsel	Consult
I want to see a therapist	Consult
Hey Can you consult me to a doctor	Consult
dmaklsjd sdnk	OutOfDomain
Consult me a doctor	Consult
book flight tickets	OutOfDomain
Hey Can you consult me a doctor	Consult
Consult me some Neonatologists	Consult
what is the meaning of bot	OutOfDomain
can you kill a doctor	OutOfDomain
I feel an excess of thirst and hunger and frequent urination.	Symptom/Disease
i want a crepe bandage	OutOfDomain
can u help me with my headache	Symptom/Disease
are you a medical chatbot	OutOfDomain
I am compelling to see a doctor	Consult
can you book a cab	OutOfDomain
I got Itchy, raised welts, small, round on my face.	Symptom/Disease
Advise me some doctors	Consult
order pizza	OutOfDomain
i want to go to a bar	OutOfDomain
I often have a dry mouth with a bad breath.	Symptom/Disease
i want some medicines for x	OutOfDomain
Tell me why I have swollen joints.	Symptom/Disease
What are the physicians that you know	Consult
i feel like vomiting all the time	Symptom/Disease
Can you forward me to a doctor	Consult
can every disease be cured	OutOfDomain
bars near me	OutOfDomain
can you answer anything	OutOfDomain
I want to seek advice from Neurologist	Consult
I am in urgent need of a Surgeon	Consult
I am feeling excessive thirst and hunger and frequent urination.	Symptom/Disease
In my breathing, there is a difficulty.	Symptom/Disease
Can you consult me to a gastrologist	Consult
my hands are numb	Symptom/Disease
Either way, can I get rid of my cold and cough?	Symptom/Disease
i feel chills in my body	Symptom/Disease
i want to get slim	OutOfDomain
I am compelling to see a Surgeon	Consult
I want to ask questions about my illness to a doctor	Consult
take a look at my fingers	OutOfDomain
I have red, painful, and three-day lump irritated under my skin and fever.	Symptom/Disease
take a look at my legs	OutOfDomain
Forward me to a doctor	Consult
how do you think	OutOfDomain
I often have a bad breath in my dry mouth.	Symptom/Disease
Suggest me a doctor	Consult
I don't understand what's wrong with my symptoms, please assist me.	Symptom/Disease
i have cold feet	Symptom/Disease
 is the price of samsung galaxy s10	OutOfDomain
what medicine should i take if i have x	OutOfDomain
Do you know the list of doctors	Consult
show me hotels in x	OutOfDomain
I don't know what's wrong with that, but my ankle is very painful.	Symptom/Disease
take me to nearest hospital	OutOfDomain
Consult a Urologist	Consult
Over the last few weeks, I've had dark spots and red marks on my leg muscles.	Symptom/Disease
i want to buy a book	OutOfDomain
i want to book a cab	OutOfDomain
i feel sleepy all the time	Symptom/Disease
what does x mean	OutOfDomain
what are your hobbies	OutOfDomain
i have rolling eyes	Symptom/Disease
i want to go to a salon	OutOfDomain
From five days, I have red rash spread from the face down the body	Symptom/Disease
Advise me some good doctors	Consult
i have abdominal pain	Symptom/Disease
i hallucinate	Symptom/Disease
Hello DrBot, can you show me some doctors	Consult
I don't understand what's wrong, but it's very bad for my ankle.	Symptom/Disease
where is x	OutOfDomain
How can I get rid of my tiredness.	Symptom/Disease
Can i speak to a doctor	Consult
i feel chills in mt entire body	Symptom/Disease
There's a difficulty in breathing.	Symptom/Disease
I want to speak to a Dermatologist	Consult
do you like to sing	OutOfDomain
I want to talk to a Physician	Consult
I want to be cured, I am having headache since last week.	Symptom/Disease
I had bleeding and swollen gums after brushing.	Symptom/Disease
I need to see a Microbiologist	Consult
I've been having joint pain since last night.	Symptom/Disease
can i talk to you	OutOfDomain
I'm having trouble concentrating, remembering details, making decisions and getting tired.	Symptom/Disease
I want to seek advice from doctors	Consult
There's a difficulty with my breathing.	Symptom/Disease
what are the best restaurants here	OutOfDomain
book movie tickets	OutOfDomain
Who is a dermatologist here	Consult
what does q mean	OutOfDomain
