I have red rash spreading from the face down the body over five days.	Symptom/Disease
Hey Can you consult me a doctor	Consult
I feel an excess of thirst and hunger and frequent urination.	Symptom/Disease
Consult me a Dentist	Consult
Tell me why my sore joints are so.	Symptom/Disease
For five days, I have red rash spreading from the face down the body	Symptom/Disease
List nearby doctors	Consult
Please consult me a Orthopedic Surgeon	Consult
Hey Consult me a Infectious Disease Specialist	Consult
I need to see a Microbiologist	Consult
I am suffering from headache and nausea	Symptom/Disease
I have trouble focusing, remembering the information, making choices and getting tired.	Symptom/Disease
Where are doctors	Consult
Give me the reason for my itchy skin.	Symptom/Disease
Show me the best psychiatrist	Consult
Show me nearby Allergists	Consult
How can I get rid of my fatigue?	Symptom/Disease
Over the last several weeks, I've had age spots and red marks on my glutes.	Symptom/Disease
I feel the pain of chewing and biting	Symptom/Disease
Show me a doctor's list	Consult
Red, painful, fluid-filled blister has been appearing for many days close the mouth and lips	Symptom/Disease
Are there any good doctors	Consult
I'm in profound sorrow	Symptom/Disease
Can you consult me to a gastrologist	Consult
With chewing and biting, I feel pain	Symptom/Disease
I feel excessive thirst and hunger and urination frequently.	Symptom/Disease
I have red, painful, and three-day lump irritated under my skin and fever.	Symptom/Disease
Red, painful, fluid-filled blister has been appearing near the mouth and lips for many days now.	Symptom/Disease
Red, painful, fluid-filled blister appears for many days near the mouth and lips	Symptom/Disease
I've been having digestive problems since last night.	Symptom/Disease
Red, painful, fluid-filled blister has appeared for many days close the mouth and lips	Symptom/Disease
After I brushed, I had bleeding and swollen gums.	Symptom/Disease
Please consult me Pediatrician	Consult
I have difficulty concentrating, remembering the details and making decisions and tiredness	Symptom/Disease
What are some good doctors here	Consult
Hey Can you consult me to a gastrologist	Consult
I often have a bad breath in my dry mouth.	Symptom/Disease
Hey Consult me some immunologist	Consult
I want to see a doctor	Consult
Can you consult me a dermatologist	Consult
I've had cold spots and scars on my reduced body for the last few days.	Symptom/Disease
I would like to see a doctor	Consult
I am feeling dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly	Symptom/Disease
I feel excessive thirst, starvation, and urination frequently.	Symptom/Disease
I want to be cured, I am having headache since last week.	Symptom/Disease
I am having red rash spreads from the face down the body from five days	Symptom/Disease
Who is a nephrologist here	Consult
I've been having joint pain since the first week of August.	Symptom/Disease
I had bleeding and swollen gums after brushing.	Symptom/Disease
Forward me to a Neurologist	Consult
Hey I want to consult a anesthesiologist	Consult
I have trouble concentrating, remembering details, and making decisions and tiredness	Symptom/Disease
This is an emergency situation, find me a Pulmonologist	Consult
What are the physicians that you know	Consult
I have had cold spots and scars on my upper abdomen for the last few days.	Symptom/Disease
I want to see a doctor	Consult
I want to consult a Urologist	Consult
Who is a doctor here	Consult
Give me the reason why my skin is itchy.	Symptom/Disease
Do you know any pediatrician	Consult
Consult me some doctors	Consult
Can i see a doctor	Consult
Please consult me a Physiologist	Consult
I don't know what's wrong, please help me with the symptoms I have.	Symptom/Disease
I have a red rash spread from my face down my body for five days.	Symptom/Disease
I would like to see a dermatologist	Consult
There's a difficulty with my breathing.	Symptom/Disease
Please consult me some doctors	Consult
I'm having trouble concentrating, remembering details, making decisions and getting tired.	Symptom/Disease
I would like to see a doctor	Consult
With bad breath, I often have a dry mouth.	Symptom/Disease
can u help me with my headache	Symptom/Disease
I am sick I want to consult a doctor	Consult
Give me the reason why my ass bleeds?	Symptom/Disease
Who is a dermatologist here	Consult
I feel pain with chewing and biting	Symptom/Disease
I want to be healed, since last week I've had headache.	Symptom/Disease
I am in urgent need of a Surgeon	Consult
Are there any doctors available?	Consult
Hey Consult me a Immunologist	Consult
Tell me why my swollen joints are caused.	Symptom/Disease
I don't know what's wrong with that, but my ankle is very painful.	Symptom/Disease
I often have a dry mouth with a bad breath.	Symptom/Disease
Where are nearby doctors	Consult
Do you know any Medical Geneticist	Consult
Show me the best doctor	Consult
I urgently need a Oncologist	Consult
In my face, fingers, feet, or lower legs there's a swelling. Can you do something about this?	Symptom/Disease
Hey Can you consult me a dermatologist	Consult
Red, painful, fluid-filled blister  appears near the mouth and lips since many days	Symptom/Disease
Just give me the reason for my itchy skin.	Symptom/Disease
Hey Can you consult me to a doctor	Consult
Are there any cardiologists available?	Consult
I am having an emergency situation	Consult
I am compelling to see a Cardiologist	Consult
I want to be healed, I've had pain in my head.	Symptom/Disease
I want to consult a doctor	Consult
This is an emergency situation, find me a Oncologist	Consult
Please give me the reason for my itchy skin.	Symptom/Disease
I would like to see a physician	Consult
I'm having a fever.	Symptom/Disease
How can I get relieved from pain and swelling on the foot.	Symptom/Disease
Consult me a Infectious Disease Specialist	Consult
Forward me to a doctor	Consult
Do you have any idea about nearby doctors	Consult
Consult me some Neonatologists	Consult
Please show me some doctors	Consult
I have an emergency	Consult
Please consult me some Orthopedic Surgeon	Consult
I feel chewing and biting pain	Symptom/Disease
I've had age spots and red marks on my glutes over the last few weeks.	Symptom/Disease
I am having an emergency situation	Consult
I feel pain when I chew and bit	Symptom/Disease
I am having frequent dry mouth with bad breath.	Symptom/Disease
